transfer_id,sender_id,receiver_id,amount,ccy,created_at,state,transfer_type,reference_note
TRF-00105,CUST-1031,EXT-5021,32835.86,USD,1743771733000,FAILED,international,Business invoice
TRF-00106,CUST-1081,EXT-5013,24815.07,SAR,1744001685000,COMPLETED,local_bank,Cleaning service
TRF-00107,CUST-1044,CUST-1128,17487.10,GBP,1739469952000,COMPLETED,internal,Car installment
TRF-00108,CUST-1194,EXT-5098,48300.25,SAR,1738142153000,FAILED,local_bank,Birthday gift
TRF-00109,CUST-1160,EXT-5075,29543.41,USD,1744333343000,COMPLETED,international,Freelancer payment
TRF-00110,CUST-1054,EXT-5006,36590.80,SAR,1749274469000,COMPLETED,local_bank,Gas split
TRF-00111,CUST-1080,CUST-1115,30450.60,SAR,1748760510000,COMPLETED,internal,Charity donation
TRF-00112,CUST-1111,CUST-1114,26731.91,SAR,1750207892000,COMPLETED,internal,Grocery share
TRF-00113,CUST-1058,CUST-1017,44243.90,AED,1747285751000,COMPLETED,internal,Wedding contribution
TRF-00114,CUST-1083,CUST-1200,3573.91,SAR,1743588109000,FAILED,internal,Salary advance
TRF-00115,CUST-1177,EXT-5100,4500.52,EUR,1747340248000,COMPLETED,local_bank,Event tickets
TRF-00116,CUST-1043,EXT-5076,13406.55,SAR,1742116909000,COMPLETED,local_bank,Gym membership
TRF-00117,CUST-1010,EXT-5010,17707.35,SAR,1735706821000,COMPLETED,local_bank,Insurance premium
TRF-00118,CUST-1140,EXT-5011,16054.84,USD,1749690590000,COMPLETED,international,Gym membership
TRF-00119,CUST-1070,EXT-5080,12451.33,GBP,1746859228000,COMPLETED,international,Internet bill
TRF-00120,CUST-1102,CUST-1166,23645.02,SAR,1736530965000,COMPLETED,internal,Rent share
TRF-00121,CUST-1151,CUST-1004,15953.47,SAR,1740912835000,COMPLETED,internal,Travel booking
TRF-00122,CUST-1071,CUST-1195,46156.74,SAR,1747621548000,COMPLETED,internal,Gift money
TRF-00123,CUST-1046,CUST-1139,10458.22,SAR,1742101680000,COMPLETED,internal,Grocery share
TRF-00124,CUST-1042,EXT-5095,25691.94,EUR,1751035632000,COMPLETED,international,Travel booking
TRF-00125,CUST-1103,EXT-5036,33006.97,USD,1744644423000,COMPLETED,international,Rent share
TRF-00126,CUST-1039,EXT-5042,34893.75,SAR,1737201459000,COMPLETED,local_bank,Lunch money
TRF-00127,CUST-1178,EXT-5091,43348.91,SAR,1747798239000,COMPLETED,local_bank,Birthday gift
TRF-00128,CUST-1185,EXT-5017,46627.70,SAR,1745827361000,COMPLETED,local_bank,Lunch money
TRF-00129,CUST-1068,CUST-1129,45001.14,AED,1748464500000,PROCESSING,internal,Movie tickets
TRF-00130,CUST-1111,EXT-5006,48248.08,SAR,1745050615000,COMPLETED,local_bank,Salary advance
TRF-00131,CUST-1153,CUST-1011,35784.78,EUR,1745736492000,FAILED,internal,Business invoice
TRF-00132,CUST-1024,EXT-5093,31463.78,USD,1740416049000,COMPLETED,local_bank,Car installment
TRF-00133,CUST-1024,CUST-1175,7271.52,USD,1742222118000,COMPLETED,internal,Dinner split
TRF-00134,CUST-1025,CUST-1138,16931.78,SAR,1736471695000,COMPLETED,internal,Shared groceries
TRF-00135,CUST-1103,CUST-1048,5580.80,SAR,1746687971000,COMPLETED,internal,Salary advance
TRF-00136,CUST-1076,EXT-5088,7955.02,SAR,1735985890000,COMPLETED,local_bank,School tuition
TRF-00137,CUST-1154,EXT-5087,23875.58,SAR,1740256486000,COMPLETED,local_bank,Furniture split
TRF-00138,CUST-1072,CUST-1123,47929.41,SAR,1736633754000,COMPLETED,internal,Event tickets
TRF-00139,CUST-1174,EXT-5018,4005.61,EUR,1748273708000,COMPLETED,international,Lunch money
TRF-00140,CUST-1100,EXT-5010,36462.44,GBP,1745355791000,COMPLETED,international,Wedding contribution
TRF-00141,CUST-1125,CUST-1105,20378.18,SAR,1739846457000,COMPLETED,internal,Furniture split
TRF-00142,CUST-1195,EXT-5049,18171.47,AED,1735910728000,COMPLETED,local_bank,Uber share
TRF-00143,CUST-1099,CUST-1190,832.03,SAR,1741956580000,COMPLETED,internal,Movie tickets
TRF-00144,CUST-1143,EXT-5001,19419.20,SAR,1742414841000,COMPLETED,local_bank,Birthday gift
TRF-00145,CUST-1014,EXT-5031,19796.53,SAR,1742963253000,COMPLETED,local_bank,Insurance premium
TRF-00146,CUST-1012,CUST-1188,32057.14,SAR,1746533312000,FAILED,internal,Wedding contribution
TRF-00147,CUST-1069,CUST-1160,6042.94,SAR,1750100177000,COMPLETED,internal,Investment transfer
TRF-00148,CUST-1012,EXT-5016,2944.53,GBP,1748107024000,COMPLETED,local_bank,Cleaning service
TRF-00149,CUST-1008,CUST-1094,30419.42,SAR,1741369312000,COMPLETED,internal,Furniture split
TRF-00150,CUST-1052,EXT-5059,34808.73,AED,1741834069000,COMPLETED,international,Gas split
TRF-00151,CUST-1029,EXT-5084,48459.10,USD,1736381339000,COMPLETED,local_bank,Business invoice
TRF-00152,CUST-1184,EXT-5056,43153.38,SAR,1743458111000,COMPLETED,local_bank,Internet bill
TRF-00153,CUST-1127,CUST-1170,40567.90,SAR,1746251205000,COMPLETED,internal,Gift money
TRF-00154,CUST-1012,CUST-1074,48132.59,SAR,1740405452000,FAILED,internal,Lunch money
TRF-00155,CUST-1085,CUST-1132,27876.32,SAR,1746258876000,COMPLETED,internal,Dinner split
TRF-00156,CUST-1184,EXT-5077,31466.23,SAR,1744564132000,COMPLETED,local_bank,Lunch money
TRF-00157,CUST-1073,EXT-5043,7853.44,AED,1738498858000,COMPLETED,international,Coffee money
TRF-00158,CUST-1176,CUST-1039,30830.39,SAR,1736560400000,COMPLETED,internal,Furniture split
TRF-00159,CUST-1105,CUST-1004,40582.77,SAR,1737402885000,COMPLETED,internal,Movie tickets
TRF-00160,CUST-1036,CUST-1139,22387.77,SAR,1740654037000,COMPLETED,internal,Gas split
TRF-00161,CUST-1164,CUST-1194,46076.06,SAR,1735951429000,COMPLETED,internal,Freelancer payment
TRF-00162,CUST-1091,CUST-1094,1368.39,SAR,1741964776000,COMPLETED,internal,Event tickets
TRF-00163,CUST-1002,CUST-1113,36294.53,SAR,1737195136000,COMPLETED,internal,Charity donation
TRF-00164,CUST-1025,CUST-1109,26332.70,SAR,1745280336000,COMPLETED,internal,Insurance premium
TRF-00165,CUST-1034,CUST-1066,10467.35,SAR,1745589615000,COMPLETED,internal,Lunch money
TRF-00166,CUST-1114,EXT-5034,18775.05,SAR,1740115182000,PROCESSING,local_bank,Uber share
TRF-00167,CUST-1094,CUST-1025,16000.50,SAR,1751078621000,COMPLETED,internal,Investment transfer
TRF-00168,CUST-1014,CUST-1186,28637.75,SAR,1748015753000,COMPLETED,internal,Grocery share
TRF-00169,CUST-1165,EXT-5082,19899.00,SAR,1748154242000,COMPLETED,local_bank,Gas split
TRF-00170,CUST-1184,EXT-5075,16511.59,SAR,1750529567000,COMPLETED,local_bank,Travel booking
TRF-00171,CUST-1061,CUST-1083,24749.86,SAR,1746201491000,FAILED,internal,Travel booking
TRF-00172,CUST-1118,EXT-5071,18719.02,EUR,1743546005000,COMPLETED,local_bank,Grocery share
TRF-00173,CUST-1048,CUST-1191,42379.77,SAR,1749122196000,PROCESSING,internal,Car installment
TRF-00174,CUST-1139,CUST-1063,40287.48,USD,1737364510000,COMPLETED,internal,Shared groceries
TRF-00175,CUST-1042,CUST-1155,24448.56,SAR,1739323288000,COMPLETED,internal,Gas split
TRF-00176,CUST-1037,EXT-5091,10642.94,AED,1747131134000,COMPLETED,international,Freelancer payment
TRF-00177,CUST-1145,EXT-5038,9310.30,SAR,1745088898000,COMPLETED,local_bank,Birthday gift
TRF-00178,CUST-1062,EXT-5021,18809.34,AED,1750098250000,COMPLETED,international,Cleaning service
TRF-00179,CUST-1048,CUST-1043,45923.12,SAR,1746113380000,PROCESSING,internal,Shared groceries
TRF-00180,CUST-1058,EXT-5069,2346.24,EUR,1739680384000,FAILED,international,Shared groceries
TRF-00181,CUST-1006,EXT-5013,49578.85,SAR,1736777258000,COMPLETED,local_bank,Business invoice
TRF-00182,CUST-1049,CUST-1195,25818.12,SAR,1740603746000,COMPLETED,internal,Freelancer payment
TRF-00183,CUST-1077,EXT-5085,29553.57,SAR,1738188090000,COMPLETED,local_bank,Rent share
TRF-00184,CUST-1173,EXT-5043,43102.26,USD,1741189616000,COMPLETED,local_bank,Furniture split
TRF-00185,CUST-1088,CUST-1100,46299.78,SAR,1741111632000,COMPLETED,internal,Investment transfer
TRF-00186,CUST-1177,EXT-5080,27560.20,SAR,1739392467000,COMPLETED,local_bank,Rent share
TRF-00187,CUST-1001,EXT-5051,10680.07,EUR,1738278262000,COMPLETED,international,Grocery share
TRF-00188,CUST-1195,EXT-5081,7535.89,SAR,1737834597000,COMPLETED,local_bank,Eid gift
TRF-00189,CUST-1120,EXT-5028,3780.86,SAR,1750555204000,PROCESSING,local_bank,Medical bill
TRF-00190,CUST-1180,CUST-1102,14943.90,SAR,1743704299000,COMPLETED,internal,Internet bill
TRF-00191,CUST-1114,CUST-1054,2627.47,SAR,1742031773000,COMPLETED,internal,Birthday gift
TRF-00192,CUST-1158,CUST-1044,39809.48,SAR,1737951888000,FAILED,internal,Lunch money
TRF-00193,CUST-1022,EXT-5005,36398.95,GBP,1737901630000,COMPLETED,international,Gym membership
TRF-00194,CUST-1005,EXT-5083,39077.25,AED,1741836683000,COMPLETED,international,Shared groceries
TRF-00195,CUST-1110,EXT-5054,28463.04,SAR,1735723006000,COMPLETED,local_bank,Movie tickets
TRF-00196,CUST-1041,CUST-1011,20247.85,SAR,1749181946000,COMPLETED,internal,Event tickets
TRF-00197,CUST-1092,EXT-5052,39775.22,USD,1742588288000,PROCESSING,local_bank,Car installment
TRF-00198,CUST-1073,EXT-5058,29754.68,SAR,1746511661000,COMPLETED,local_bank,Freelancer payment
TRF-00199,CUST-1027,EXT-5028,34952.15,GBP,1745257709000,FAILED,local_bank,Charity donation
TRF-00200,CUST-1192,EXT-5070,42107.26,SAR,1745714207000,COMPLETED,local_bank,Gym membership
TRF-00201,CUST-1154,EXT-5065,40695.24,GBP,1735920737000,COMPLETED,international,Business invoice
TRF-00202,CUST-1180,EXT-5027,20853.13,SAR,1750315130000,COMPLETED,local_bank,Lunch money
TRF-00203,CUST-1056,CUST-1034,48768.23,SAR,1739998505000,COMPLETED,internal,Dinner split
TRF-00204,CUST-1034,CUST-1041,29290.33,SAR,1750451475000,COMPLETED,internal,Coffee money
TRF-00205,CUST-1167,CUST-1170,5225.43,USD,1746012186000,COMPLETED,internal,Travel booking
TRF-00206,CUST-1087,CUST-1065,34993.16,SAR,1738743444000,FAILED,internal,Eid gift
TRF-00207,CUST-1112,EXT-5090,6882.16,EUR,1738922223000,COMPLETED,international,Medical bill
TRF-00208,CUST-1181,CUST-1128,41337.28,SAR,1746365466000,COMPLETED,internal,Birthday gift
TRF-00209,CUST-1102,EXT-5060,3220.06,AED,1744295685000,PROCESSING,international,Medical bill
TRF-00210,CUST-1135,CUST-1033,26297.72,SAR,1744843367000,FAILED,internal,Charity donation
TRF-00211,CUST-1015,CUST-1169,42392.53,SAR,1736813059000,COMPLETED,internal,Medical bill
TRF-00212,CUST-1013,CUST-1179,36567.05,SAR,1747387751000,PROCESSING,internal,Gym membership
TRF-00213,CUST-1148,EXT-5048,23382.26,SAR,1745328534000,COMPLETED,local_bank,Travel booking
TRF-00214,CUST-1070,EXT-5004,16235.12,SAR,1742869446000,FAILED,local_bank,Eid gift
TRF-00215,CUST-1160,CUST-1146,19347.16,SAR,1750503048000,FAILED,internal,Travel booking
TRF-00216,CUST-1062,CUST-1159,22244.25,USD,1739060167000,COMPLETED,internal,Coffee money
TRF-00217,CUST-1031,CUST-1140,44004.05,SAR,1742681533000,COMPLETED,internal,Loan repayment
TRF-00218,CUST-1103,CUST-1002,16139.35,SAR,1750792863000,COMPLETED,internal,Uber share
TRF-00219,CUST-1116,EXT-5065,16533.89,GBP,1746844199000,COMPLETED,international,Loan repayment
TRF-00220,CUST-1083,CUST-1193,44424.49,SAR,1741589071000,COMPLETED,internal,Shared groceries
TRF-00221,CUST-1066,EXT-5056,352.36,SAR,1742165364000,COMPLETED,local_bank,Eid gift
TRF-00222,CUST-1087,EXT-5054,42793.25,USD,1740567424000,FAILED,local_bank,Salary advance
TRF-00223,CUST-1092,CUST-1107,12775.15,SAR,1737469364000,COMPLETED,internal,Shared groceries
TRF-00224,CUST-1066,CUST-1067,25619.49,SAR,1745940120000,COMPLETED,internal,Internet bill
TRF-00225,CUST-1076,CUST-1037,41661.07,USD,1739064534000,COMPLETED,internal,Wedding contribution
TRF-00226,CUST-1137,EXT-5003,11676.73,SAR,1741022208000,COMPLETED,local_bank,Gas split
TRF-00227,CUST-1011,EXT-5009,20416.38,EUR,1736447136000,FAILED,international,Lunch money
TRF-00228,CUST-1069,CUST-1055,20566.50,SAR,1738590872000,COMPLETED,internal,Coffee money
TRF-00229,CUST-1178,CUST-1188,30577.06,SAR,1744652743000,COMPLETED,internal,Rent share
TRF-00230,CUST-1156,EXT-5036,13463.05,EUR,1745386113000,COMPLETED,international,Investment transfer
TRF-00231,CUST-1198,EXT-5082,30374.03,SAR,1745684339000,COMPLETED,local_bank,Gas split
TRF-00232,CUST-1148,EXT-5018,16838.40,USD,1738246907000,COMPLETED,local_bank,Gym membership
TRF-00233,CUST-1029,CUST-1093,13522.39,SAR,1735903565000,COMPLETED,internal,Birthday gift
TRF-00234,CUST-1011,EXT-5027,38506.00,SAR,1748291777000,FAILED,local_bank,Charity donation
TRF-00235,CUST-1077,EXT-5002,24918.29,SAR,1746402096000,COMPLETED,local_bank,Investment transfer
TRF-00236,CUST-1065,EXT-5003,7026.39,USD,1742933452000,COMPLETED,international,Shared groceries
TRF-00237,CUST-1184,EXT-5033,32537.17,SAR,1749247242000,COMPLETED,local_bank,Coffee money
TRF-00238,CUST-1060,CUST-1091,30027.23,AED,1748474888000,COMPLETED,internal,Birthday gift
TRF-00239,CUST-1134,CUST-1157,887.94,USD,1738890368000,COMPLETED,internal,Gift money
TRF-00240,CUST-1011,CUST-1025,22006.52,SAR,1743397173000,COMPLETED,internal,Lunch money
TRF-00241,CUST-1137,EXT-5059,18271.33,SAR,1737589613000,FAILED,local_bank,Lunch money
TRF-00242,CUST-1018,EXT-5055,49671.56,SAR,1747200315000,COMPLETED,local_bank,Uber share
TRF-00243,CUST-1041,CUST-1001,37733.18,SAR,1737848949000,COMPLETED,internal,Birthday gift
TRF-00244,CUST-1165,EXT-5051,40300.99,SAR,1740320523000,COMPLETED,local_bank,Investment transfer
TRF-00245,CUST-1108,CUST-1063,10996.96,SAR,1750635691000,COMPLETED,internal,Rent share
TRF-00246,CUST-1189,EXT-5047,18843.43,SAR,1746126149000,PROCESSING,local_bank,Gym membership
TRF-00247,CUST-1043,EXT-5054,14633.85,USD,1744345378000,COMPLETED,local_bank,Dinner split
TRF-00248,CUST-1114,CUST-1180,20148.73,SAR,1749829113000,COMPLETED,internal,Freelancer payment
TRF-00249,CUST-1169,EXT-5088,4622.71,SAR,1749301289000,COMPLETED,local_bank,Internet bill
TRF-00250,CUST-1196,CUST-1120,7487.57,SAR,1748747234000,COMPLETED,internal,Parking fee
TRF-00251,CUST-1098,CUST-1088,20721.83,SAR,1744889054000,COMPLETED,internal,Movie tickets
TRF-00252,CUST-1006,EXT-5020,23013.81,SAR,1738105226000,COMPLETED,local_bank,Cleaning service
TRF-00253,CUST-1122,CUST-1116,47292.53,SAR,1736134963000,COMPLETED,internal,Parking fee
TRF-00254,CUST-1044,CUST-1121,28664.71,SAR,1736284896000,PROCESSING,internal,Movie tickets
TRF-00255,CUST-1196,EXT-5041,43647.33,USD,1747665573000,COMPLETED,local_bank,Cleaning service
TRF-00256,CUST-1164,EXT-5008,27613.94,SAR,1749266999000,COMPLETED,local_bank,Eid gift
TRF-00257,CUST-1149,CUST-1181,31359.72,SAR,1743151113000,COMPLETED,internal,Charity donation
TRF-00258,CUST-1081,CUST-1052,3878.92,SAR,1749411674000,COMPLETED,internal,Travel booking
TRF-00259,CUST-1160,EXT-5006,23143.82,EUR,1736794878000,COMPLETED,international,Investment transfer
TRF-00260,CUST-1017,CUST-1127,27895.74,SAR,1740757506000,COMPLETED,internal,Medical bill
TRF-00261,CUST-1156,EXT-5092,20255.30,EUR,1744908662000,COMPLETED,international,Medical bill
TRF-00262,CUST-1068,EXT-5066,10276.10,SAR,1736065828000,COMPLETED,local_bank,Rent share
TRF-00263,CUST-1176,EXT-5052,11897.39,SAR,1742378994000,FAILED,local_bank,Dinner split
TRF-00264,CUST-1047,CUST-1162,30135.34,SAR,1746282584000,COMPLETED,internal,Uber share
TRF-00265,CUST-1023,EXT-5070,46420.63,SAR,1746534341000,COMPLETED,local_bank,Medical bill
